,type,docno,text
0,bottom_app_bar,0,bottom app bar: Bottom app bars should be located at the bottom of the screen and can contain up to 4 icon buttons (including an overflow menu) and a FAB (floating action button).
1,bottom_app_bar,1,bottom app bar: Bottom app bars can be used for screens with 2 to 5 actions.
2,bottom_app_bar,2,bottom app bar: Bottom app bars should not be used on screens with a navigation bar.
3,bottom_app_bar,3,bottom app bar: Bottom app bars should not be used on screens with only one or no actions.
4,bottom_app_bar,4,"bottom app bar: Bottom app bars are different from navigation bars (which only contain destinations in the app, not actions)."
5,bottom_app_bar,5,"bottom app bar: On a screen with a bottom app bar, an FAB should never be placed outside of the bottom app bar."
6,bottom_app_bar,6,"bottom app bar: When a bottom app bar is used together with a top app bar, navigation elements should be in the top app bar."
7,bottom_app_bar,7,"bottom app bar: When a bottom app bar is used together with a top app bar, there should only be one overflow menu on the screen."
8,bottom_app_bar,8,"bottom app bar: When a bottom app bar is used together with a top app bar, actions should have a consistent place across the app."
9,bottom_app_bar,9,bottom app bar: Any snackbars that appear while using the app should appear above the bottom app bar and not cover it.
10,bottom_app_bar,10,bottom app bar: A bottom app bar is not the same as a navigation bar.
11,top_app_bar,11,"top app bar: A top app bar contains a title (which can be a screen title or the name of the app), and actions related to the current screen. It should be located at the very top of the screen."
12,top_app_bar,12,"top app bar: There are four types of top app bars: center-aligned, which should be used for the main root page of an app, small, which is used on compact screen layouts or scrolled views on subpages that require back navigation and multiple actions, medium, which is the initial state of a small top app bar before the screen is scrolled, and large, which is used to emphasize the title component."
13,top_app_bar,13,top app bar: Text in non-large top app bars should not wrap (be more than one line).
14,top_app_bar,14,top app bar: A navigation icon can be located on the left side of a top app bar (e.g. a back arrow or a menu).
15,top_app_bar,15,top app bar: Interactive icons on the right side of a top app bar should be ordered from most to least used from left to right.
16,top_app_bar,16,"top app bar: The right side of a top app bar should have three icon buttons at most. If there are more actions that need to be accessible, the third icon should be a 'more' icon (three vertical dots) and open an overflow menu."
17,badge,17,"badge: Badges can be placed in the corner of an icons bounding box to show notifications, item counts, or information relating to a navigation destination."
18,badge,18,badge: Badges should have a contrasting color that sticks out from the icon and its surroundings.
19,badge,19,"badge: There are small and large badges. Large badges can have text, which should not be longer than 4 characters."
20,badge,20,badge: Badges should not overlap with elements other than the icon they belong to.
21,common_button,21,"common button: Elevated, filled, filled tonal, outlined, and text buttons can contain a leading icon, which should be to the left of the text (not above it). There should not be more than one icon in a button."
22,common_button,22,"common button: Elevated, filled, filled tonal, outlined, and text buttons should have concise labels."
23,common_button,23,"common button: Elevated, filled, filled tonal, outlined, and text buttons should have rounded corners."
24,common_button,24,"common button: There should not be too many elevated, filled, filled tonal, outlined, or text buttons on a screen. Their number can be reduced by adding an overflow menu or by replacing them with icon buttons."
25,common_button,25,"common button: Elevated, filled, filled tonal, outlined, and text buttons should have their width aligned with either their label text or with the container that contains them."
26,common_button,26,"common button: The label text of elevated, filled, filled tonal, outlined, and text buttons should be in sentence case and not wrap over multiple lines."
27,common_button,27,common button: Text buttons should be distinguishable from normal text.
28,common_button,28,"common button: Outlined buttons on top of images can be hard to see and can be changed to be filled or filled tonal buttons, or moved below or above the image."
29,common_button,29,common button: Text buttons are usually embedded in other components.
30,common_button,30,"common button: Out of elevated, filled, filled tonal, outlined, and text buttons, filled buttons have the highest emphasis and should be used for the most important actions on the screen."
31,common_button,31,"common button: Elevated, filled tonal, and outlined buttons have medium emphasis and can be used for less important actions."
32,common_button,32,common button: Text buttons have low emphasis and can be used for optional or supplementary actions.
33,common_button,33,"common button: For actions that require even less emphasis than text buttons, like filter options, chips should be used instead."
34,common_button,34,"common button: These guidelines apply to elevated, filled tonal, text, and outlined buttons. Icon buttons, segmented buttons, and floating action buttons have their own sets of guidelines and should be seen separately."
35,fab,35,fab: FABs are used for the most common or important action on a screen.
36,fab,36,"fab: There are three sizes of FABs: Small, normal, and large."
37,fab,37,fab: FABs should contrast the area behind them using color or elevation.
38,fab,38,"fab: FABs should be on the very top layer of the screen (not covered by any other components, e.g. badges)."
39,fab,39,"fab: FABs should have a clear and simple icon. If an icon alone is not clear enough, consider using an extended FAB."
40,fab,40,"fab: There should not be more than one large or extended FAB on a screen. However, large and extended FABs can be supported by one or more small FABs, which should be placed above the larger FAB."
41,fab,41,"fab: FABs should be used for positive or constructive actions, not for minor or destructive actions."
42,fab,42,"fab: FABs should be placed in the bottom right corner of the screen to be easy accessible using thumbs. If the screen contains a navigation bar, a bottom app bar, or a similar element at its bottom, the FAB should be placed above it and not overlap with it."
43,fab,43,"fab: Extended FABs can be used in screens with long, scrolling views and can be replaced by filled buttons in non-scrolling screens, depending on the context."
44,fab,44,fab: Extended FABs can be used when an icon might not be clear enough to express the FAB's purpose.
45,fab,45,fab: An extended FAB should not be an option in a set of actions (e.g. cancel/finish). Use a regular button instead in this case.
46,fab,46,"fab: The icon on an extended FAB is optional, the text is not."
47,fab,47,fab: The text on an extended FAB should not wrap over multiple lines.
48,fab,48,fab: Extended FABs should not be placed inside other containers or overlap with app bars.
49,icon_button,49,"icon button: Icon buttons can be contained using a (tonal) fill or an outline, if necessary."
50,icon_button,50,icon button: Icon buttons should be used for actions in compact layouts.
51,icon_button,51,"icon button: Contained icon buttons should be used when visual separation is necessary (e.g. on a busy background), otherwise they are not needed."
52,icon_button,52,icon button: Filled icon buttons have high emphasis and should be used for very important actions.
53,icon_button,53,"icon button: Tonal and outlined icon buttons have medium emphasis, while standard icon buttons have the lowest emphasis."
54,icon_button,54,icon button: The icons used on icon buttons should be clear and unambiguous.
55,segmented_button,55,segmented button: A segmented button consists of two to five segments and be used for single-select or multi-select functionality.
56,segmented_button,56,"segmented button: If there are more than five choices to be made in a segmented button, or if the choices are complex, chips should be used instead."
57,segmented_button,57,"segmented button: A segmented button segment can contain icons, label text, or both."
58,segmented_button,58,segmented button: Label text on segments should not wrap.
59,segmented_button,59,"segmented button: Each segment of a segmented button should be styled the same way, do not mix icon and text segments (this does not apply to the icon that appears when a segment is selected)."
60,card,60,"card: Cards contain related elements (content and actions relevant to a single topic) and can be displayed in a grid, vertical list or carousel."
61,card,61,"card: Cards can be elevated, filled, or outlined."
62,card,62,card: Cards should be easy to scan for relevant and actionable information and should have a clear hierarchy.
63,card,63,"card: Don't force content into cards when spacing, headlines, or dividers would create a simpler visual hierarchy."
64,card,64,"card: On smaller screens, consider swapping cards for lists."
65,card,65,card: Dividers can be used in cards to indicate expandable content (full-width dividers) or separate related content (inset dividers).
66,card,66,"card: Cards can also contain buttons, icon button, selection controls, and linked text."
67,card,67,card: Overflow menus are usually in the upper or lower right corner of a card.
68,card,68,"card: Cards should expand, not scroll to reveal information."
