title,image_loc,image_link,Spalte1
"Violations:
1. The color of the divider in the 'Hi, Firstname Lastname!' section (#000000FF, Black) is too bold and visually disruptive. Material Design Guidelines suggest that dividers should be visible but not bold.

Changes:
1. Change the color of the divider in the 'Hi, Firstname Lastname!' section to a more neutral and less bold color, such as #C1C9BEFF (light grey), to make it less disruptive while still maintaining visibility.",../User Study Sample/one_step/0_divider/0_divider_divider_combined.jpg,https://drive.google.com/file/d/1wOQZ8Xo4Ds5rCJ43wJQSi61KPh1GztXK/view?usp=drivesdk,
"Violations:
1. The FABs are not placed in the bottom right corner of the screen. Instead, they are scattered in different positions. According to Material Design guidelines, FABs should be placed in the bottom right corner to be easily accessible using thumbs. 2. The FABs are overlapping with other elements, such as the badge and the bottom app bar. FABs should be placed above other components without overlapping them.

Changes:
1. Relocate the FABs to the bottom right corner of the screen, ensuring they do not overlap with each other or other elements. 2. Ensure the FABs are placed above the bottom app bar without overlapping it.",../User Study Sample/one_step/0_fab/0_fab_fab_combined.jpg,https://drive.google.com/file/d/1eOatYr0Sx0htKbyu-lDZ5peA4OXfW7SQ/view?usp=drivesdk,
"Violations:
The slider's handles are too small, which makes them difficult to interact with. Additionally, the slider's inactive track dots are unnecessary and might clutter the UI.

Changes:
Increased the width of the handles for better interaction and removed the inactive track dots.",../User Study Sample/one_step/1_slider/1_slider_slider_combined.jpg,https://drive.google.com/file/d/1z8WjNJUSmDmxU_xYw90iWurKgCYtNLyJ/view?usp=drivesdk,
"Violations:
1. Inconsistent Icon Button Emphasis: The icon buttons for 'Share' and 'Bookmark' use the 'standard' configuration, which has the lowest emphasis according to Material Design 3 guidelines. These actions might be important enough to warrant a higher emphasis configuration like 'filled' or 'tonal' to make them more noticeable. (Severity: Medium)

Changes:
Change the 'standard' configuration of the icon buttons to 'filled' for higher emphasis and better visibility.",../User Study Sample/one_step/1_bottom_sheet/1_bottom_sheet_icon_button_combined.jpg,https://drive.google.com/file/d/14MgkzK5RxTONW_hZ0RuVFw4Lvd27lC40/view?usp=drivesdk,
"Violations:
1. Carousel items too large: The carousel items are too wide, causing only one item to be fully visible at a time. This does not utilize the available space efficiently. 2. Missing 'Show All' button: A 'Show All' button is recommended next to the carousel.

Changes:
1. Reduce the width of the carousel items to show at least two items at a time.
2. Add a 'Show All' button next to the carousel.
",../User Study Sample/one_step/0_divider/0_divider_carousel_combined.jpg,https://drive.google.com/file/d/1A-9uXs0ILuOTL6cz1pjfTMJvlEChRTpm/view?usp=drivesdk,
"Violations:
The current navigation bar uses a background color (#EBEFE7FF) that may not provide enough contrast with the icons and text, potentially violating accessibility guidelines for sufficient color contrast.

Changes:
Change the background color of the navigation bar to a darker color to improve contrast and ensure readability.",../User Study Sample/one_step/0_carousel/0_carousel_navigation_bar_combined.jpg,https://drive.google.com/file/d/1iqmYSSYz52X9U2HBiCUiB2n8ZAbPB-6W/view?usp=drivesdk,
"Violations:
The switch is being used for an option ('Download using mobile data') that might require saving or confirmation before coming into effect. According to the Material Design 3 guidelines, checkboxes should be used instead of switches if option choices need to be saved/confirmed before coming into effect.

Changes:
Replace the switch with a checkbox for the 'Download using mobile data' option.",../User Study Sample/one_step/0_checkbox/0_checkbox_switch_combined.jpg,https://drive.google.com/file/d/1uavYWtaZmNTJVBVnuJe127_XpPM0smv8/view?usp=drivesdk,
"Violations:
1. The divider between ""Language"" and the radio buttons is missing. 2. The divider between ""Email settings"" and the switch is missing. 3. The divider between the ""Receive emails"" switch and the checkboxes is missing.

Changes:
1. Add a divider between ""Language"" and the radio buttons. 2. Add a divider between ""Email settings"" and the switch. 3. Add a divider between the ""Receive emails"" switch and the checkboxes.",../User Study Sample/one_step/0_switch/0_switch_list_combined.jpg,https://drive.google.com/file/d/1ggEhxOEN4bCvPgQ_3H25kbh5ymKHIK5D/view?usp=drivesdk,
"Violations:
1. Placement issue: The FAB is placed in the bottom right corner, but it overlaps with the bottom app bar. According to Material Design guidelines, FABs should be placed above the bottom app bar and not overlap with it. Severity: high. 2. Color contrast: The icon inside the FAB has insufficient contrast against the FAB background. The icon color should be more distinct to ensure accessibility. Severity: medium.

Changes:
1. Relocate the FAB to be above the bottom app bar without overlapping it. 2. Adjust the color of the icon inside the FAB to ensure better contrast.",../User Study Sample/one_step/0_bottom_app_bar/0_bottom_app_bar_fab_combined.jpg,https://drive.google.com/file/d/16fqO3nrFByQS5GpNqO4MAQ-YW5VQ6FgD/view?usp=drivesdk,
"Violations:
The segmented button 'Segment-start' includes both an icon and a label, while 'Segment-end' includes only an icon. According to Material Design 3 guidelines, each segment of a segmented button should be styled the same way and should not mix icon and text segments.

Changes:
Change the 'Segment-end' to include both an icon and a label, similar to the 'Segment-start'.",../User Study Sample/one_step/1_badge/1_badge_segmented_button_combined.jpg,https://drive.google.com/file/d/1huhvs8iFMEtuC0A8K8b90z7mUkWNEFuj/view?usp=drivesdk,
