screen,smallness,misalignment,imbalance,density,elems,groups,ungroupeds
adoption_1,0.7805972504835411,0.3896294966016467,0.44653733218925407,0.5371094648690932,26,5,0
banking_1,0.768264637450303,0.4693406177313788,0.549152000531314,0.7737772051718586,47,6,0
banking_2,0.8336828929568361,0.24087813620071685,0.23238862824410844,0.3629733584870934,51,8,0
banking_3,0.6867103141914952,0.5,0.835315643299748,0.25193254497768375,15,2,0
banking_4,0.7512704182579488,0.3893333333333333,0.4618529411764706,0.13665853770763356,8,2,0
banking_5,0.7755031480861074,0.0804407713498625,0.6792825393726523,0.310438043528275,23,3,0
banking_6,0.6386616325584997,0.19730123997082427,0.535576114472047,0.3572907559931901,13,3,0
email_1,0.8012374896022503,0.1616915422885572,0.6184905697997427,0.455965582294207,40,9,0
email_2,0.7943839408152569,0.3436152570480928,0.6297224068500104,0.4542976119265633,39,9,0
email_3,0.8026979110049068,0.18770646422820336,0.6104312504687809,0.4481251437773177,42,10,0
email_4,0.7888591063806629,0.34708361055666437,0.4992160279814438,0.2932176873878434,23,6,0
instagram_1,0.8381531110080047,0.48221067147554897,0.6015033641871667,0.6241970749170169,31,5,0
instagram_2,0.8258807971426076,0.1260877629396875,0.48752624895544494,0.687594901762297,41,5,0
letterboxd_1,0.7953348623388914,0.21918876755070205,0.36390793045017,0.5909734045000691,26,11,0
letterboxd_2,0.8235954880811828,0.25161057748215,0.677434419177982,0.28533796530621636,30,7,0
letterboxd_3,0.7414832376179502,0.3156960227272727,0.7129640083022534,0.6080729765793954,23,6,0
lieferando_1,0.863029772655852,0.2936480110680162,0.4560533262621096,0.6192081166889063,46,10,0
lieferando_2,0.6322448420313544,0.2239608302704239,0.2815756421842104,0.5522477338609488,29,5,0
lifestyle_1,0.7607893389346082,0.30029216043008633,0.45124570541314546,0.5933718308563015,18,5,0
lifestyle_2,0.8038495848805609,0.3606536200994639,0.5959997834607552,0.47277182165370635,21,4,0
nextbike_1,0.8684693170331413,0.1032338308457712,0.5969109198823566,0.09388947683246676,8,3,0
nextbike_2,0.7380527246701813,0.5328713574982232,0.8088953865128141,0.6167579257350573,26,2,0
nextbike_3,0.8172817313335667,0.35389636792417956,0.7853182245668735,0.24646850411816135,29,3,0
nextbike_4,0.8544752429302176,0.14631345770840953,0.5690824282899392,0.1464658781449417,12,4,0
nextbike_5,0.8672778068707994,0.1180662110010694,0.590617854786621,0.11102931026549488,10,4,0
play_store_1,0.7473775578263401,0.19796409354304634,0.25654958580186493,0.6642548198592003,29,13,0
play_store_2,0.812870302954845,0.2586206896551724,0.786671666994557,0.19981134679979756,17,1,0
prime_1,0.8358192304346865,0.2247330836495378,0.4633913552789236,0.6860390880228224,40,8,0
prime_2,0.819860197051522,0.1282716850529959,0.5095853663041239,0.4825035660056136,38,4,0
reddit_1,0.7833590029009185,0.4233178610513605,0.5571674366263919,0.6777021119955828,24,5,0
running_1,0.8981750989402976,0.11387506909894984,0.6022335920945001,0.1298083559563797,16,3,0
settings_1,0.7323522926854965,0.4285989469628868,0.3695082247671584,0.35244789030506607,31,12,0
shopping_1,0.8018277438359109,0.13119953863898504,0.2387088033566921,0.7035844108038467,22,8,0
shopping_2,0.8051639520341505,0.11984617545831278,0.24723349007368212,0.7551189435420789,26,9,0
shopping_3,0.801020362059671,0.13119953863898504,0.23834929275981387,0.7055169557815304,22,8,0
shopping_4,0.823178159519523,0.3093958916765607,0.48429072575910037,0.5312888234482124,29,8,0
shopping_5,0.7992518115021932,0.13119953863898504,0.23679712002408593,0.709750149542171,22,8,0
spotify_1,0.7757143631700416,0.3001658374792704,0.6069809168273412,0.5406323333179958,42,4,0
spotify_2,0.862409006056589,0.4322946823643785,0.7243575863550056,0.39132022730409977,41,3,0
tiktok_1,0.9240255281917946,0.5440825849360198,0.6883561383446344,0.1443053190999862,20,4,0
tricount_1,0.7055962275111581,0.2823738680465717,0.611568140428847,0.4941103391156306,48,13,0
tricount_2,0.7459219363321996,0.4365314685314685,0.6117070121631998,0.3459370542492983,22,5,0
tricount_3,0.7450105490645798,0.4365314685314685,0.5803139997175557,0.36029310265494874,23,5,0
whatsapp_1,0.7435388110292873,0.30644397062307505,0.3890547263681592,0.5267335388579579,38,3,0
whatsapp_2,0.743210994441305,0.36056575825665627,0.40749332025169127,0.5291147103483183,40,2,0
whatsapp_3,0.8216125170467937,0.342328760239208,0.6925290499354193,0.409452215524778,31,4,0
whatsapp_4,0.783842965260615,0.25574709887721625,0.5647266510813531,0.538212514854731,42,4,0
